,LocationID,zone,lon,lat
0,1,Newark Airport,-74.17678574521403,40.68951564804293
1,2,Jamaica Bay,-73.82612577032016,40.6257242377496
2,3,Allerton/Pelham Gardens,-73.84947892385894,40.86588754197535
3,4,Alphabet City,-73.97702292193343,40.7241521436721
4,5,Arden Heights,-74.18992967123748,40.55034012383311
5,6,Arrochar/Fort Wadsworth,-74.06777446074486,40.59906217408019
6,7,Astoria,-73.92149056694781,40.76108472914962
7,8,Astoria Park,-73.92320240928667,40.77860696176824
8,9,Auburndale,-73.78802024874037,40.754410927110136
9,10,Baisley Park,-73.79166545789035,40.67812470312181
10,11,Bath Beach,-74.01061563053632,40.60397770880833
11,12,Battery Park,-74.01549032921515,40.70248841354346
12,13,Battery Park City,-74.01611966928331,40.71161208311675
13,14,Bay Ridge,-74.03044705082972,40.62358427930978
14,15,Bay Terrace/Fort Totten,-73.78797108474393,40.78521950064573
15,16,Bayside,-73.77166782211667,40.7612088345014
16,17,Bedford,-73.94918130103815,40.691994096274534
17,18,Bedford Park,-73.88692199485578,40.868762881989646
18,19,Bellerose,-73.72786939615672,40.73647243913751
19,20,Belmont,-73.88603484053465,40.85777311425439
20,21,Bensonhurst East,-73.98130072597267,40.60204898400919
21,22,Bensonhurst West,-73.99429701500517,40.609627340019294
22,23,Bloomfield/Emerson Hill,-74.15944328756373,40.60750421954
23,24,Bloomingdale,-73.96556852909372,40.80203277299444
24,25,Boerum Hill,-73.98645898767131,40.68561458946325
25,26,Borough Park,-73.98956040655298,40.62861224058437
26,27,Breezy Point/Fort Tilden/Riis Beach,-73.90978119781074,40.55895009192425
27,28,Briarwood/Jamaica Hills,-73.8073290840499,40.71085278175614
28,29,Brighton Beach,-73.96057984811755,40.58219554657063
29,30,Broad Channel,-73.82009754648027,40.604872183789524
30,31,Bronx Park,-73.87572204529508,40.85992052113999
31,32,Bronxdale,-73.86462414083114,40.86445170642436
32,33,Brooklyn Heights,-73.99532879720404,40.69623832706207
33,34,Brooklyn Navy Yard,-73.96769896867612,40.70255903810122
34,35,Brownsville,-73.91248148827769,40.66380982261797
35,36,Bushwick North,-73.91656398027722,40.69908473807881
36,37,Bushwick South,-73.92594836344831,40.69626745249633
37,38,Cambria Heights,-73.73554955854607,40.693295570431545
38,39,Canarsie,-73.89977387195219,40.63887892992388
39,40,Carroll Gardens,-73.99581808190935,40.67850422309315
40,41,Central Harlem,-73.95206533089235,40.80420482862963
41,42,Central Harlem North,-73.93951646931629,40.8210462140977
42,43,Central Park,-73.96557217995945,40.782459738636334
43,44,Charleston/Tottenville,-74.22954654578439,40.5272981750019
44,45,Chinatown,-73.99825262137996,40.71305782758265
45,46,City Island,-73.7864863118312,40.847499898487825
46,47,Claremont/Bathgate,-73.8969291492323,40.84575494537208
47,48,Clinton East,-73.98985665083148,40.762236755614545
48,49,Clinton Hill,-73.96493373164766,40.68851587525023
49,50,Clinton West,-73.99389940332091,40.76669237466818
50,51,Co-Op City,-73.83042363189686,40.87406155090897
51,52,Cobble Hill,-73.99692247138664,40.686604541765725
52,53,College Point,-73.8440703458848,40.78198795842944
53,54,Columbia Street,-74.00332901607658,40.686135278176636
54,55,Coney Island,-73.99047413955634,40.576899619854785
55,56,Corona,-73.85905335346229,40.74159861550134
56,56,Corona,-73.85338447485452,40.75231603920504
57,58,Country Club,-73.820705382297,40.84147549875589
58,59,Crotona Park,-73.89307443383376,40.838859990597136
59,60,Crotona Park East,-73.8897822026554,40.83129411878886
60,61,Crown Heights North,-73.94128202922141,40.67384284613155
61,62,Crown Heights South,-73.94926996707466,40.667089560726545
62,63,Cypress Hills,-73.87767643237912,40.68481019470612
63,64,Douglaston,-73.73139216250836,40.760631276034886
64,65,Downtown Brooklyn/MetroTech,-73.98557106353522,40.695372609329354
65,66,DUMBO/Vinegar Hill,-73.98638274755488,40.70173247168921
66,67,Dyker Heights,-74.01473587119294,40.61845440722056
67,68,East Chelsea,-73.99994015650746,40.74839722483199
68,69,East Concourse/Concourse Village,-73.91536622023375,40.830607677612164
69,70,East Elmhurst,-73.8684029143644,40.763947820325065
70,71,East Flatbush/Farragut,-73.9377345201576,40.643928519279285
71,72,East Flatbush/Remsen Village,-73.92021005488292,40.6524606311861
72,73,East Flushing,-73.80658433314609,40.75369748694583
73,74,East Harlem North,-73.93831049684607,40.805565565475
74,75,East Harlem South,-73.94495666768462,40.790650159764766
75,76,East New York,-73.8784173669994,40.658686304463984
76,77,East New York/Pennsylvania Avenue,-73.89571715697528,40.667701874425994
77,78,East Tremont,-73.88664559406963,40.84603027711283
78,79,East Village,-73.98521412439773,40.727944278905156
79,80,East Williamsburg,-73.9423293071901,40.71446957458579
80,81,Eastchester,-73.84553256631546,40.87735882816153
81,82,Elmhurst,-73.87234400959431,40.73846392036487
82,83,Elmhurst/Maspeth,-73.889221829475,40.74014560317468
83,84,Eltingville/Annadale/Prince's Bay,-74.17393732693867,40.53201720108783
84,85,Erasmus,-73.95220883684644,40.64725496652418
85,86,Far Rockaway,-73.7541867292922,40.60255392656082
86,87,Financial District North,-74.00781211638898,40.70665961735875
87,88,Financial District South,-74.01130777063678,40.70339380172001
88,89,Flatbush/Ditmas Park,-73.96269373374696,40.64098273380972
89,90,Flatiron,-73.99677751239734,40.74254616066005
90,91,Flatlands,-73.93254359068801,40.62738999244287
91,92,Flushing,-73.83044712754781,40.76412728341407
92,93,Flushing Meadows-Corona Park,-73.84189275500992,40.73923465746968
93,94,Fordham South,-73.90059101086402,40.85826076435676
94,95,Forest Hills,-73.84821993627119,40.723465272361146
95,96,Forest Park/Highland Park,-73.87601221812481,40.69576099030666
96,97,Fort Greene,-73.97557658003458,40.6906156556934
97,98,Fresh Meadows,-73.77955023462538,40.73384121866157
98,99,Freshkills Park,-74.18770273722114,40.57961794536371
99,100,Garment District,-73.98878589284917,40.753514091774825
100,101,Glen Oaks,-73.7090705910381,40.74372178358235
101,102,Glendale,-73.88199872966685,40.702679359917255
102,103,Governor's Island/Ellis Island/Liberty Island,-74.0451814058327,40.68986057122352
103,103,Governor's Island/Ellis Island/Liberty Island,-74.03913087205636,40.69867328405951
104,103,Governor's Island/Ellis Island/Liberty Island,-74.01879436899256,40.68813782492722
105,106,Gowanus,-73.99176357560758,40.6733611676158
106,107,Gramercy,-73.98331035324627,40.737348376320895
107,108,Gravesend,-73.98037615109405,40.5891103441557
108,109,Great Kills,-74.15271468576506,40.54883071591013
109,110,Great Kills Park,-74.12584640657694,40.54326752500025
110,111,Green-Wood Cemetery,-73.99098890276058,40.65211580256457
111,112,Greenpoint,-73.94847219727068,40.72883034713889
112,113,Greenwich Village North,-73.99462821715102,40.732485951827215
113,114,Greenwich Village South,-73.99867794660439,40.72861173158826
114,115,Grymes Hill/Clifton,-74.09248610232093,40.62012754505803
115,116,Hamilton Heights,-73.94736754322352,40.827535259804996
